,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,NObeyesdad,lifestyle
333,1,1,3,2,0,1,0,1,2,1,0,-6
421,0,2,3,2,0,2,0,2,1,0,0,-6
665,0,3,3,2,0,1,1,1,1,0,0,-6
916,1,2,3,1,0,2,0,3,2,1,0,-6
1274,1,2,4,2,0,1,0,3,0,0,0,-6
1680,1,3,3,2,0,2,0,2,2,0,0,-6
2202,1,2,3,3,0,2,0,2,1,1,0,-6
2423,1,2,3,2,0,1,0,2,1,0,0,-6
2587,1,2,4,3,0,1,0,0,2,0,0,-6
2991,1,2,3,2,0,1,0,2,1,0,0,-6
3200,0,2,3,2,0,1,1,1,1,1,0,-6
3394,1,2,3,2,0,1,0,2,1,0,0,-6
3478,1,2,3,2,0,2,0,2,2,1,0,-6
4085,1,1,4,2,0,1,0,2,1,1,0,-6
4200,1,1,4,2,0,1,0,2,1,1,0,-6
4956,0,2,3,2,0,1,0,2,1,1,0,-6
4977,0,2,3,2,0,1,0,2,1,1,0,-6
5332,0,2,4,2,0,1,1,2,0,1,0,-6
5827,1,3,3,2,0,1,1,1,2,1,0,-6
6265,1,3,3,2,0,2,0,2,2,0,0,-6
6390,1,3,3,2,0,2,1,3,0,0,0,-6
6482,1,2,3,2,0,1,0,1,2,0,0,-6
7031,1,1,3,2,0,2,0,2,1,0,0,-6
7078,0,3,4,2,0,2,1,2,1,1,0,-6
7443,1,2,3,2,0,2,0,2,2,1,0,-6
7451,1,1,4,2,0,1,0,2,1,1,0,-6
7800,1,3,4,2,0,2,0,2,2,0,0,-6
8097,1,2,4,1,0,2,0,3,2,1,0,-6
8108,1,3,3,1,0,3,1,3,2,1,0,-6
8135,0,2,3,2,0,2,0,1,2,0,0,-6
8529,1,3,4,3,0,2,0,2,1,0,0,-6
8939,1,3,4,2,0,2,0,2,2,0,0,-6
9542,1,2,3,2,0,2,0,2,2,1,0,-6
10369,1,3,4,3,0,1,1,2,0,1,0,-6
10562,0,3,3,2,0,2,1,1,2,1,0,-6
10576,0,2,3,2,0,1,0,1,2,1,0,-6
10583,1,1,3,2,0,1,0,2,1,1,0,-6
10798,1,1,4,2,0,1,0,2,1,1,0,-6
10818,1,3,4,2,0,1,0,2,2,1,0,-6
10832,1,1,3,2,0,1,0,2,1,1,0,-6
10875,1,2,3,2,0,1,0,2,1,0,0,-6
12023,1,1,3,3,0,2,0,2,0,0,0,-6
12519,0,2,4,1,0,2,0,2,2,0,0,-6
12703,1,1,3,2,0,1,0,2,1,1,0,-6
13063,1,2,4,2,0,1,0,2,1,0,0,-6
13115,0,1,3,2,0,2,0,1,2,1,0,-6
13452,1,2,4,2,0,1,0,2,1,0,0,-6
13632,1,2,4,2,0,1,0,2,1,0,0,-6
13747,1,2,3,2,0,1,0,2,1,0,0,-6
13847,1,2,4,2,0,2,1,2,1,1,0,-6
14266,1,1,4,2,0,1,0,2,1,1,0,-6
15299,1,1,3,2,0,2,0,2,1,0,0,-6
15671,1,2,3,2,0,1,0,2,1,0,0,-6
16087,1,2,4,2,0,1,0,2,1,0,0,-6
16963,1,1,4,2,0,1,0,1,2,1,0,-6
17233,1,1,3,1,0,1,1,2,1,1,0,-6
17277,1,1,3,2,0,1,0,2,1,1,0,-6
17525,1,1,3,2,0,2,0,2,1,0,0,-6
17896,1,2,3,2,0,1,0,2,1,0,0,-6
18113,1,2,3,2,0,1,0,2,1,0,0,-6
18364,1,2,3,2,0,1,0,2,1,0,0,-6
18492,1,2,3,2,0,1,0,2,1,0,0,-6
18765,1,1,4,3,0,1,0,2,0,1,0,-6
20183,1,1,4,2,0,1,0,2,1,1,0,-6
20259,1,2,3,3,0,1,0,0,2,0,0,-6
324,0,3,3,2,0,2,0,3,0,0,0,-5
523,1,3,3,2,0,1,0,2,1,0,0,-5
542,0,2,4,2,0,2,1,2,0,1,0,-5
704,1,2,3,1,0,1,0,2,2,1,0,-5
729,1,3,3,2,0,2,1,2,1,1,0,-5
943,1,2,3,1,0,2,0,3,1,0,0,-5
1029,1,2,3,2,0,2,0,1,2,0,0,-5
1035,1,3,3,2,0,1,0,2,1,0,0,-5
1202,0,3,3,2,0,2,1,1,1,0,0,-5
1383,1,3,3,2,0,1,0,2,1,0,0,-5
1594,1,2,3,2,0,1,1,2,0,1,0,-5
1738,1,2,3,2,0,1,0,2,1,1,0,-5
2018,1,2,4,2,0,1,0,2,1,1,0,-5
2309,1,3,4,2,0,2,1,2,1,1,0,-5
2493,1,2,3,2,0,2,0,2,1,0,0,-5
2532,1,2,4,2,0,1,0,2,1,1,0,-5
2551,1,3,3,3,0,3,0,3,0,0,0,-5
2633,1,2,3,2,0,2,0,2,1,0,0,-5
2704,1,2,3,2,0,2,0,1,2,0,0,-5
2705,1,3,3,2,0,3,1,2,1,0,0,-5
2728,1,1,3,2,0,2,0,2,1,1,0,-5
3778,0,2,3,2,0,2,0,2,1,1,0,-5
3940,0,2,3,2,0,2,1,1,1,1,0,-5
4044,1,2,3,2,0,1,0,2,1,1,0,-5
4129,0,3,3,2,1,2,1,2,0,0,0,-5
4796,1,2,3,2,0,2,0,2,1,0,0,-5
4879,1,1,3,2,0,2,0,2,1,1,0,-5
4905,1,2,3,2,0,2,0,2,1,0,0,-5
4986,1,2,3,2,0,2,0,2,1,0,0,-5
5082,1,2,3,2,0,1,0,2,1,1,0,-5
5120,1,2,4,2,0,2,0,2,1,0,0,-5
5360,1,2,3,2,0,2,0,2,1,0,0,-5
5522,0,3,3,1,0,2,0,2,2,0,0,-5
5661,1,2,3,1,0,1,0,2,2,1,0,-5
5846,0,3,4,2,0,1,1,2,0,1,0,-5
6028,1,2,3,2,0,1,0,1,2,1,0,-5
6106,1,2,3,2,0,1,0,1,2,1,0,-5
6121,1,2,3,2,0,2,0,2,1,0,0,-5
6218,1,3,4,2,0,2,0,2,2,1,0,-5
6352,1,3,4,3,0,2,0,2,1,1,0,-5
6485,1,2,3,1,0,2,0,2,2,0,0,-5
6527,0,3,3,2,0,2,0,3,0,0,0,-5
6774,1,2,4,2,0,1,0,2,1,1,0,-5
6865,1,2,4,1,0,2,0,2,2,0,0,-5
7010,1,2,3,2,0,2,0,2,1,0,0,-5
7217,1,2,3,1,0,2,0,3,1,0,0,-5
7246,1,2,3,2,0,2,0,2,1,0,0,-5
7430,1,2,4,2,0,1,0,2,1,1,0,-5
7458,1,3,3,2,0,1,0,2,1,0,0,-5
7926,1,3,3,2,0,1,0,1,2,0,0,-5
8015,1,2,3,1,0,2,0,2,2,0,0,-5
8130,1,2,3,2,0,1,0,1,2,1,0,-5
8401,1,3,3,2,0,1,0,2,1,0,0,-5
8469,1,3,3,2,0,1,1,1,1,0,0,-5
8860,1,2,4,2,0,1,0,2,1,1,0,-5
8929,1,2,4,2,0,2,0,2,1,0,0,-5
9055,1,2,3,2,0,1,0,2,1,1,0,-5
9407,1,2,3,2,0,1,0,2,1,1,0,-5
9679,1,2,3,2,0,1,0,2,1,1,0,-5
9993,1,2,3,2,0,1,0,2,1,1,0,-5
10199,1,2,3,2,0,1,0,2,1,1,0,-5
10604,1,2,3,2,0,1,0,2,1,1,0,-5
10684,1,3,3,2,0,1,0,2,1,0,0,-5
10698,1,2,1,2,0,2,0,2,1,0,0,-5
10718,1,2,4,2,0,2,0,2,1,0,0,-5
10766,0,2,4,2,0,2,0,2,1,1,0,-5
10785,1,2,3,2,0,2,0,2,1,0,0,-5
10924,1,3,3,2,0,2,0,3,1,1,0,-5
10953,0,1,3,2,0,1,1,1,0,1,0,-5
11020,1,2,3,2,0,2,0,1,2,0,0,-5
11411,0,3,3,2,0,1,0,1,2,1,0,-5
11489,1,2,3,2,0,2,0,2,1,0,0,-5
11572,1,2,3,2,0,2,0,2,1,0,0,-5
11658,1,2,4,2,0,2,0,2,1,0,0,-5
11711,1,2,4,1,0,2,0,2,2,0,0,-5
11963,1,3,3,2,0,1,0,2,1,0,0,-5
12059,1,3,4,2,0,2,0,2,2,1,0,-5
12149,1,2,3,2,0,2,0,2,1,0,0,-5
12262,1,1,3,1,0,1,0,2,1,0,0,-5
12522,1,2,4,2,0,1,0,2,1,1,0,-5
12601,0,1,3,1,0,1,0,2,1,1,0,-5
12738,1,2,3,2,0,2,0,1,2,0,0,-5
12787,1,2,3,2,0,1,0,2,1,1,0,-5
12830,1,2,3,3,0,2,0,0,2,0,0,-5
12867,0,2,2,2,0,1,0,2,0,0,0,-5
12886,0,2,4,1,0,2,1,2,1,1,0,-5
12988,0,1,3,2,0,1,0,2,0,1,0,-5
13010,0,2,3,2,0,2,1,2,0,1,0,-5
13211,1,2,3,2,0,1,0,2,1,1,0,-5
13218,1,2,3,2,0,2,0,2,1,0,0,-5
13365,1,2,4,2,0,1,0,2,1,1,0,-5
13643,1,2,3,2,0,2,0,2,1,0,0,-5
13661,1,2,3,1,0,2,0,2,2,0,0,-5
13879,1,1,4,2,0,2,0,2,1,1,0,-5
13971,1,2,3,2,0,1,0,2,1,1,0,-5
14109,0,2,4,3,0,3,0,1,1,0,0,-5
14189,1,1,4,2,0,2,0,2,1,1,0,-5
14713,1,2,3,2,0,1,0,2,1,1,0,-5
14827,1,2,3,1,0,2,0,3,1,0,0,-5
15105,1,2,4,2,0,2,0,2,1,0,0,-5
15147,1,3,3,1,0,2,1,3,1,1,0,-5
15198,1,2,3,1,0,2,0,2,2,0,0,-5
15729,1,2,3,2,0,2,0,2,1,0,0,-5
15925,0,3,3,2,0,1,0,2,1,1,0,-5
15982,1,2,3,2,0,1,0,2,1,1,0,-5
16054,1,2,3,2,0,2,0,2,1,0,0,-5
16598,1,3,4,2,0,2,1,2,1,1,0,-5
16676,1,2,4,2,0,2,0,2,1,0,0,-5
16783,1,2,3,2,0,2,0,2,1,0,0,-5
17009,1,2,3,3,0,2,0,0,2,0,0,-5
17059,1,3,4,3,0,2,0,2,1,1,0,-5
17223,0,3,3,2,0,2,1,2,0,0,0,-5
17328,1,2,4,2,0,1,0,2,1,1,0,-5
17398,0,3,3,2,0,1,0,3,0,1,0,-5
17419,1,2,4,2,0,1,0,2,1,1,0,-5
17534,1,3,3,1,0,2,1,3,1,1,0,-5
17621,1,2,4,2,0,2,0,2,1,0,0,-5
18349,1,3,3,3,0,2,0,2,1,1,0,-5
18458,0,3,3,2,0,1,1,2,0,1,0,-5
18572,1,2,3,2,0,2,0,2,1,0,0,-5
18637,1,3,3,2,0,1,0,2,1,0,0,-5
18713,1,2,3,1,0,2,0,2,2,0,0,-5
18849,1,1,4,2,0,2,0,2,1,1,0,-5
18920,1,3,3,1,0,2,0,3,2,1,0,-5
19063,1,2,3,2,0,2,0,2,1,0,0,-5
19301,1,1,4,2,0,2,0,2,1,1,0,-5
19548,1,1,3,1,0,1,0,2,1,0,0,-5
19969,1,2,3,2,0,2,0,2,1,0,0,-5
19994,1,3,4,2,0,2,0,2,2,1,0,-5
20009,1,2,3,2,0,1,0,2,1,1,0,-5
20219,1,2,3,2,0,2,0,2,1,0,0,-5
20353,1,2,4,2,0,1,0,2,1,1,0,-5
20393,1,2,3,2,0,1,0,2,1,1,0,-5
20551,1,2,3,2,0,1,0,2,1,1,0,-5
20609,0,2,3,2,0,2,0,2,1,1,0,-5
20677,1,2,4,2,0,2,0,2,1,0,0,-5
20723,0,2,4,2,0,2,0,2,1,1,0,-5
65,0,3,4,2,0,2,0,2,1,1,0,-4
101,1,2,4,2,0,2,0,2,1,1,0,-4
265,1,1,3,1,0,1,0,2,1,1,0,-4
383,1,2,4,2,0,2,0,2,1,1,0,-4
508,1,2,4,2,0,2,0,2,1,1,0,-4
597,1,2,3,2,0,1,0,2,0,0,0,-4
617,1,3,3,2,0,2,0,1,2,0,0,-4
738,1,1,3,1,0,1,0,2,1,1,0,-4
830,1,2,3,2,0,2,0,2,1,1,0,-4
858,1,3,3,2,0,2,0,2,1,0,0,-4
870,1,1,3,1,0,1,0,2,1,1,0,-4
966,1,3,3,2,0,2,0,2,1,0,0,-4
1120,1,2,3,2,0,2,0,1,2,1,0,-4
1301,1,2,4,2,0,2,0,2,1,1,0,-4
1666,1,1,3,1,0,1,0,2,1,1,0,-4
1676,0,3,3,2,0,1,1,1,0,0,0,-4
1754,1,3,4,2,0,2,0,2,1,0,0,-4
1836,1,2,3,1,0,1,0,2,1,0,0,-4
1938,1,2,4,2,0,2,0,2,1,1,0,-4
2056,1,2,4,1,0,2,0,2,2,1,0,-4
2074,1,2,4,2,0,2,0,2,1,1,0,-4
2262,1,3,3,2,0,2,0,3,0,0,0,-4
2399,0,3,3,2,0,2,0,3,0,1,0,-4
2403,1,3,3,2,0,2,0,2,1,0,0,-4
2520,0,2,3,1,0,1,0,2,1,1,0,-4
2594,1,3,3,3,0,1,0,0,2,1,0,-4
2632,1,2,3,2,0,2,0,1,2,1,0,-4
2683,1,2,3,2,0,2,0,1,2,1,0,-4
2692,1,1,4,2,0,2,0,2,0,0,0,-4
3162,1,2,3,2,0,1,0,1,1,0,0,-4
3257,1,2,3,1,0,1,0,2,1,0,0,-4
3305,1,3,1,2,0,1,1,1,1,1,0,-4
3331,1,2,3,2,0,1,0,1,1,0,0,-4
3356,1,2,4,2,0,2,0,2,1,1,0,-4
3412,1,2,3,2,0,2,0,2,1,1,0,-4
3426,1,3,3,2,0,2,0,2,1,0,0,-4
3465,1,2,4,2,0,1,0,1,1,0,0,-4
3553,1,3,4,2,0,2,0,1,2,0,0,-4
3569,1,3,3,2,0,1,0,2,1,1,0,-4
3681,1,1,3,1,0,1,0,2,1,1,0,-4
3709,1,1,3,2,0,1,0,1,1,1,0,-4
3840,1,3,4,2,0,1,0,2,1,1,0,-4
4211,1,3,4,2,0,2,0,2,1,0,0,-4
4276,0,3,1,1,0,2,1,3,0,1,0,-4
4277,1,2,3,1,0,2,1,2,1,1,0,-4
4353,1,1,3,1,0,1,0,2,1,1,0,-4
4427,1,2,3,1,0,1,0,2,1,0,0,-4
4622,1,2,3,2,0,2,0,2,1,1,0,-4
4704,1,1,3,1,0,1,0,2,1,1,0,-4
4729,1,2,3,1,0,2,1,2,1,1,0,-4
4759,1,2,3,1,0,2,0,2,2,1,0,-4
4906,1,2,3,2,0,2,0,2,1,1,0,-4
5022,1,3,4,1,0,2,0,2,2,0,0,-4
5197,1,2,3,2,0,2,0,1,2,1,0,-4
5394,0,2,3,2,0,2,1,1,0,0,0,-4
5448,1,3,4,2,0,2,0,2,1,0,0,-4
5477,1,2,3,1,0,2,0,2,2,1,0,-4
5664,1,2,3,2,0,2,0,2,1,1,0,-4
6078,1,2,3,1,0,1,0,2,1,0,0,-4
6132,1,2,3,2,0,1,0,1,1,0,0,-4
6143,1,2,3,1,0,1,0,1,2,0,0,-4
6200,1,1,4,2,0,1,0,2,0,1,0,-4
6304,0,3,3,2,0,3,0,2,1,0,0,-4
6633,0,3,3,2,0,1,0,1,1,0,0,-4
6699,0,3,3,1,0,1,1,2,0,0,0,-4
6892,1,2,4,3,0,2,0,1,1,1,0,-4
7255,1,3,3,2,0,2,1,2,0,0,0,-4
7270,1,2,3,2,0,1,0,0,2,0,0,-4
7429,1,2,3,2,0,1,0,1,1,0,0,-4
7466,0,1,3,2,0,2,0,0,2,1,0,-4
7477,1,3,3,2,0,1,0,3,0,1,0,-4
7695,1,2,3,2,0,2,0,1,2,1,0,-4
8397,1,2,3,2,0,2,0,1,2,1,0,-4
8440,1,2,3,1,0,1,0,2,1,0,0,-4
8474,1,2,3,2,0,2,0,2,1,1,0,-4
8515,1,2,3,2,0,2,0,1,2,1,0,-4
8650,1,1,3,1,0,1,0,2,1,1,0,-4
8765,1,2,4,2,0,2,0,2,1,1,0,-4
9323,0,3,3,3,1,2,0,2,0,1,0,-4
9574,0,3,3,2,0,1,0,1,1,0,0,-4
9767,1,3,3,2,0,1,0,1,2,1,0,-4
9843,1,3,3,2,0,2,0,2,1,0,0,-4
9854,1,1,3,1,0,2,0,2,1,0,0,-4
9898,1,2,4,2,0,2,0,1,2,1,0,-4
9908,1,1,3,1,0,1,0,2,1,1,0,-4
9921,1,3,3,2,0,1,0,2,1,1,0,-4
10027,1,3,3,1,0,1,0,3,1,1,0,-4
10051,1,2,4,2,0,2,0,1,2,1,0,-4
10086,1,2,3,2,0,1,0,1,1,0,0,-4
10611,1,1,3,1,0,1,0,2,1,1,0,-4
11001,1,2,3,1,0,1,0,2,1,0,0,-4
11058,0,3,3,1,0,1,0,2,1,0,0,-4
11131,1,2,3,1,0,2,0,2,2,1,0,-4
11167,0,2,4,2,0,2,0,2,0,0,0,-4
11350,1,2,4,2,0,2,1,2,0,1,0,-4
11439,1,3,3,2,0,3,1,2,1,1,0,-4
11660,1,1,3,1,0,1,0,2,1,1,0,-4
11741,1,3,3,2,0,1,0,1,2,1,0,-4
11778,0,2,3,1,0,3,1,2,1,1,0,-4
11932,1,3,4,2,0,1,0,2,1,1,0,-4
11989,0,2,3,1,0,2,0,1,2,0,0,-4
12164,1,3,3,2,0,2,0,3,0,0,0,-4
12493,1,1,3,2,0,1,0,1,1,1,0,-4
12520,1,3,3,2,0,1,0,2,1,1,0,-4
12543,1,2,3,2,0,1,0,0,2,0,0,-4
12726,1,2,4,1,0,1,0,2,1,0,0,-4
12766,1,3,3,2,0,1,0,2,1,1,0,-4
12943,1,2,3,1,0,2,0,2,2,1,0,-4
13071,1,2,4,2,0,2,0,2,1,1,0,-4
13136,1,2,3,2,0,2,0,2,1,1,0,-4
13260,1,2,4,1,0,2,0,2,2,1,0,-4
13270,0,2,3,2,0,2,1,1,0,0,0,-4
13301,1,2,3,2,0,2,0,1,2,1,0,-4
13330,1,1,3,1,0,1,0,2,1,1,0,-4
13504,1,2,3,2,0,1,0,0,2,0,0,-4
13559,1,3,3,2,0,2,0,2,1,0,0,-4
13636,1,2,4,2,0,2,0,2,1,1,0,-4
13656,1,3,4,2,0,2,0,2,1,0,0,-4
13795,1,3,3,2,0,2,0,2,1,0,0,-4
13813,1,3,3,2,0,2,0,2,1,0,0,-4
14081,0,2,4,2,0,2,0,2,0,0,0,-4
14082,1,2,4,2,0,2,0,2,1,1,0,-4
14091,1,3,3,2,0,1,0,2,1,1,0,-4
14150,1,2,3,1,0,1,0,1,2,0,0,-4
14203,1,2,4,2,0,2,0,2,1,1,0,-4
14214,0,3,3,2,0,1,0,2,0,0,0,-4
14272,1,1,4,1,0,1,0,2,1,1,0,-4
14331,1,2,3,2,0,1,0,1,1,0,0,-4
14334,1,3,3,2,0,2,0,2,1,0,0,-4
14549,1,2,3,1,0,2,0,2,2,1,0,-4
14588,0,2,3,1,0,2,0,2,1,0,0,-4
14727,1,1,4,1,0,1,0,2,1,1,0,-4
14918,1,2,4,2,0,2,0,1,2,1,0,-4
14943,0,3,3,2,0,3,0,2,1,0,0,-4
14951,0,2,1,2,0,1,1,0,1,1,0,-4
14960,1,2,4,2,0,2,0,2,1,1,0,-4
15430,1,1,4,2,0,1,1,0,1,1,0,-4
15475,0,3,3,2,0,2,0,2,1,1,0,-4
15528,1,2,3,2,0,2,0,1,2,1,0,-4
15530,1,1,3,1,0,1,0,2,1,1,0,-4
15538,1,1,4,2,0,1,0,2,0,1,0,-4
15553,0,2,4,2,0,1,0,1,1,1,0,-4
15571,1,2,4,2,0,2,0,2,1,1,0,-4
15801,1,3,3,2,0,2,0,2,1,0,0,-4
15853,1,1,3,2,0,2,0,1,1,0,0,-4
15895,1,1,3,1,0,1,0,2,1,1,0,-4
16332,1,2,1,2,0,2,0,2,1,1,0,-4
16414,1,1,3,2,0,1,0,1,1,1,0,-4
16479,0,3,1,2,0,1,0,2,0,0,0,-4
16512,1,2,4,2,0,2,0,2,1,1,0,-4
16524,1,2,1,2,0,1,1,1,0,0,0,-4
16647,1,1,3,1,0,1,0,2,1,1,0,-4
16696,1,2,3,2,0,2,0,2,1,1,0,-4
16805,1,2,3,2,0,1,0,0,2,0,0,-4
16810,0,2,3,1,0,1,0,2,1,1,0,-4
16832,1,2,4,1,0,1,0,2,1,0,0,-4
16906,1,2,3,1,0,2,0,2,2,1,0,-4
16938,1,3,3,2,0,2,0,2,1,0,0,-4
16979,1,3,3,2,0,1,1,0,2,1,0,-4
17063,0,3,3,3,0,2,1,1,0,1,0,-4
17416,1,1,3,1,0,1,0,2,1,1,0,-4
17420,1,1,3,2,0,1,0,1,1,1,0,-4
17582,1,2,4,2,0,2,0,1,2,1,0,-4
17583,1,3,3,1,0,3,0,3,2,1,0,-4
17714,1,1,3,1,0,1,0,2,1,1,0,-4
17770,1,3,3,2,0,2,0,1,2,0,0,-4
17800,1,1,3,1,0,1,0,2,1,1,0,-4
17857,1,1,3,1,0,1,0,2,1,1,0,-4
17905,1,2,3,1,0,1,0,2,1,0,0,-4
17924,1,3,4,2,0,1,0,2,1,1,0,-4
18046,1,3,4,2,0,2,0,1,2,0,0,-4
18110,0,3,1,2,0,1,1,1,0,0,0,-4
18116,1,2,4,2,0,2,0,2,1,1,0,-4
18152,1,3,4,2,0,2,0,1,2,0,0,-4
18456,1,2,4,2,0,2,0,2,1,1,0,-4
18462,1,3,4,2,0,2,0,2,1,0,0,-4
18721,1,3,3,2,0,1,0,2,1,1,0,-4
18798,1,2,3,2,0,2,0,2,1,1,0,-4
18801,1,2,4,2,0,2,0,2,1,1,0,-4
18811,1,2,3,2,0,2,0,2,1,1,0,-4
18820,1,2,4,1,0,2,0,2,2,1,0,-4
18821,0,3,3,2,0,3,0,2,1,0,0,-4
18961,1,3,1,2,0,1,0,2,1,1,0,-4
19091,1,3,3,1,0,2,0,2,2,0,0,-4
19097,1,3,3,2,0,1,0,2,1,1,0,-4
19126,1,3,4,2,0,2,0,2,1,0,0,-4
19261,1,2,3,2,0,1,0,2,0,0,0,-4
19381,1,3,3,2,0,1,0,2,1,1,0,-4
19603,0,2,3,1,0,1,0,2,1,1,0,-4
19721,1,2,3,2,0,2,1,1,1,1,0,-4
19743,1,2,4,2,0,2,0,2,1,1,0,-4
19775,0,2,3,2,0,2,0,0,2,0,0,-4
19908,1,2,3,2,0,2,0,2,1,1,0,-4
20423,1,2,3,2,0,2,0,2,1,1,0,-4
20728,1,1,3,2,0,1,0,2,0,1,0,-4
20745,1,2,3,2,0,2,0,2,1,1,0,-4
20754,1,3,4,2,0,1,0,2,1,1,0,-4
93,1,1,3,2,0,2,0,0,2,1,0,-3
131,1,2,3,2,0,1,1,1,0,1,0,-3
282,1,2,4,1,0,1,0,2,1,1,0,-3
321,1,2,3,1,0,2,0,2,1,0,0,-3
476,1,2,3,1,0,2,0,2,1,0,0,-3
512,0,2,3,1,0,2,1,1,1,1,0,-3
530,1,3,4,2,0,3,0,2,1,0,0,-3
540,1,1,3,1,0,2,0,2,1,1,0,-3
560,1,3,4,2,0,2,1,2,0,1,0,-3
618,1,2,3,2,0,2,0,1,1,0,0,-3
673,1,1,3,2,0,1,0,1,0,0,0,-3
920,1,2,3,2,0,2,0,2,0,0,0,-3
1123,1,3,3,2,0,2,0,1,2,1,0,-3
1173,1,2,3,1,0,1,0,2,1,1,0,-3
1333,1,2,4,2,0,2,0,2,1,2,0,-3
1385,1,2,3,1,0,1,0,2,1,1,0,-3
1492,1,3,3,3,0,3,1,1,0,0,0,-3
1501,1,2,3,1,0,2,0,2,1,0,0,-3
1587,1,3,1,2,0,1,0,1,1,0,0,-3
1667,1,2,4,2,0,1,0,0,2,1,0,-3
1802,1,2,4,1,0,2,0,2,1,0,0,-3
2003,0,3,2,2,0,1,1,0,1,1,0,-3
2025,1,3,3,2,0,2,0,2,1,1,0,-3
2150,1,3,3,2,0,2,1,2,0,1,0,-3
2246,1,2,3,1,0,2,0,1,2,0,0,-3
2270,1,1,3,1,0,2,0,2,1,1,0,-3
2344,1,2,3,1,0,2,0,2,1,0,0,-3
2667,1,2,4,1,0,2,0,2,1,0,0,-3
2706,0,3,3,2,0,1,0,2,0,1,0,-3
2708,1,2,3,2,0,2,0,2,0,0,0,-3
2761,1,2,3,1,0,2,0,2,1,0,0,-3
2819,1,2,3,1,0,2,0,2,1,0,0,-3
2837,1,1,3,1,0,2,0,2,1,1,0,-3
3092,1,2,4,1,0,2,0,2,1,0,0,-3
3110,1,2,3,2,0,2,0,2,0,0,0,-3
3111,1,2,3,1,0,1,0,2,1,1,0,-3
3146,0,2,3,1,0,2,0,2,1,1,0,-3
3159,1,2,3,1,0,1,0,2,1,1,0,-3
3176,0,2,2,2,0,1,1,0,0,0,0,-3
